[b]0001_cuckold_sex_xxx_video_1[/b]<BR>MPEG-4 | Size: 19.2 MiB | Duration: 4mn 40s | 320x240
[b]0002_cuckold_sex_xxx_video_2[/b]<BR>MPEG-4 | Size: 28.3 MiB | Duration: 6mn 52s | 320x240
[b]0003_cuckold_sex_xxx_video_3[/b]<BR>MPEG-4 | Size: 25.4 MiB | Duration: 6mn 10s | 320x240
[b]0004_cuckold_sex_xxx_video_4[/b]<BR>MPEG-4 | Size: 133 MiB | Duration: 8mn 48s | 1280x720
[b]0005_cuckold_sex_xxx_video_d[/b]<BR>MPEG-4 | Size: 675 MiB | Duration: 12mn 50s | 1920x1080
[b]0006_cuckold_sex_xxx_video_Y[/b]<BR>AVI | Size: 1.46 GiB | Duration: 59mn 39s | 720x544
[b]0007_cuckold_sex_xxx_video_d[/b]<BR>AVI | Size: 119 MiB | Duration: 28mn 1s | 320x240
[b]0008_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 23.2 MiB | Duration: 14mn 9s | 208x160
[b]0009_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 101 MiB | Duration: 19mn 28s | 352x288
[b]0010_cuckold_sex_xxx_video_6[/b]<BR>AVI | Size: 73.0 MiB | Duration: 16mn 58s | 352x240
[b]0011_cuckold_sex_xxx_video_9[/b]<BR>AVI | Size: 151 MiB | Duration: 27mn 32s | 480x368
[b]0012_cuckold_sex_xxx_video_9[/b]<BR>AVI | Size: 116 MiB | Duration: 26mn 57s | 352x240
[b]0013_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 20.8 MiB | Duration: 7mn 14s | 320x240
[b]0014_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 119 MiB | Duration: 11mn 13s | 720x576
[b]0015_cuckold_sex_xxx_video_e[/b]<BR>AVI | Size: 87.6 MiB | Duration: 33mn 12s | 288x224
[b]0016_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 30.7 MiB | Duration: 9mn 33s | 320x240
[b]0017_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 12.4 MiB | Duration: 4mn 20s | 320x240
[b]0018_cuckold_sex_xxx_video_0[/b]<BR>AVI | Size: 365 MiB | Duration: 17mn 18s | 640x480
[b]0019_cuckold_sex_xxx_video_0[/b]<BR>AVI | Size: 143 MiB | Duration: 37mn 15s | 160x120
[b]0020_cuckold_sex_xxx_video_7[/b]<BR>AVI | Size: 152 MiB | Duration: 16mn 11s | 640x352
[b]0021_cuckold_sex_xxx_video_e[/b]<BR>AVI | Size: 378 MiB | Duration: 59mn 11s | 320x240
[b]0022_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 58.4 MiB | Duration: 19mn 53s | 320x240
[b]0023_cuckold_sex_xxx_video_n[/b]<BR>AVI | Size: 565 MiB | Duration: 48mn 7s | 640x480
[b]0024_cuckold_sex_xxx_video_m[/b]<BR>AVI | Size: 176 MiB | Duration: 24mn 53s | 512x384
[b]0025_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 150 MiB | Duration: 23mn 47s | 320x240
[b]0026_cuckold_sex_xxx_video_e[/b]<BR>AVI | Size: 150 MiB | Duration: 43mn 18s | 512x384
[b]0027_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 320 MiB | Duration: 1h 4mn | 320x240
[b]0028_cuckold_sex_xxx_video_l[/b]<BR>AVI | Size: 39.5 MiB | Duration: 19mn 20s | 288x224
[b]0029_cuckold_sex_xxx_video_6[/b]<BR>AVI | Size: 36.9 MiB | Duration: 6mn 43s | 480x360
[b]0030_cuckold_sex_xxx_video_2[/b]<BR>AVI | Size: 32.1 MiB | Duration: 7mn 32s | 320x240
[b]0031_cuckold_sex_xxx_video_k[/b]<BR>AVI | Size: 55.8 MiB | Duration: 39mn 11s | 352x240
[b]0032_cuckold_sex_xxx_video_8[/b]<BR>AVI | Size: 72.0 MiB | Duration: 11mn 31s | 640x480
[b]0033_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 383 MiB | Duration: 34mn 20s | 640x480
[b]0034_cuckold_sex_xxx_video_m[/b]<BR>AVI | Size: 82.4 MiB | Duration: 26mn 27s | 320x240
[b]0035_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 110 MiB | Duration: 31mn 32s | 320x240
[b]0036_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 19.5 MiB | Duration: 4mn 55s | 480x360
[b]0037_cuckold_sex_xxx_video_e[/b]<BR>AVI | Size: 128 MiB | Duration: 14mn 37s | 512x384
[b]0038_cuckold_sex_xxx_video_y[/b]<BR>AVI | Size: 75.4 MiB | Duration: 15mn 0s | 352x288
[b]0039_cuckold_sex_xxx_video_d[/b]<BR>AVI | Size: 50.9 MiB | Duration: 10mn 25s | 400x304
[b]0040_cuckold_sex_xxx_video_r[/b]<BR>AVI | Size: 146 MiB | Duration: 17mn 15s | 640x480
[b]0041_cuckold_sex_xxx_video_y[/b]<BR>AVI | Size: 447 MiB | Duration: 57mn 58s | 720x480
[b]0042_cuckold_sex_xxx_video_R[/b]<BR>AVI | Size: 50.6 MiB | Duration: 14mn 43s | 320x240
[b]0043_cuckold_sex_xxx_video_n[/b]<BR>AVI | Size: 309 MiB | Duration: 32mn 34s | 720x480
[b]0044_cuckold_sex_xxx_video_l[/b]<BR>AVI | Size: 94.4 MiB | Duration: 8mn 43s | 768x576
[b]0045_cuckold_sex_xxx_video_r[/b]<BR>AVI | Size: 307 MiB | Duration: 16mn 36s | 1280x720
[b]0046_cuckold_sex_xxx_video_r[/b]<BR>AVI | Size: 288 MiB | Duration: 15mn 34s | 1280x720
[b]0047_cuckold_sex_xxx_video_s[/b]<BR>AVI | Size: 580 MiB | Duration: 44mn 49s | 840x480
[b]0048_cuckold_sex_xxx_video_d[/b]<BR>AVI | Size: 294 MiB | Duration: 10mn 33s | 1024x720
[b]0049_cuckold_sex_xxx_video_t[/b]<BR>AVI | Size: 443 MiB | Duration: 49mn 57s | 720x480
[b]0050_cuckold_sex_xxx_video_h[/b]<BR>AVI | Size: 247 MiB | Duration: 16mn 6s | 720x480
[b]0051_cuckold_sex_xxx_video_d[/b]<BR>AVI | Size: 261 MiB | Duration: 14mn 13s | 720x480
[b]0052_cuckold_sex_xxx_video_r[/b]<BR>AVI | Size: 257 MiB | Duration: 13mn 36s | 720x480
[b]0053_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 284 MiB | Duration: 12mn 38s | 720x480
[b]0054_cuckold_sex_xxx_video_z[/b]<BR>AVI | Size: 301 MiB | Duration: 19mn 41s | 720x480
[b]0055_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 325 MiB | Duration: 27mn 45s | 720x480
[b]0056_cuckold_sex_xxx_video_m[/b]<BR>AVI | Size: 396 MiB | Duration: 33mn 46s | 720x400
[b]0057_cuckold_sex_xxx_video_k[/b]<BR>AVI | Size: 432 MiB | Duration: 19mn 39s | 1024x720
[b]0058_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 616 MiB | Duration: 54mn 44s | 840x480
[b]0059_cuckold_sex_xxx_video_y[/b]<BR>AVI | Size: 536 MiB | Duration: 34mn 59s | 960x540
[b]0060_cuckold_sex_xxx_video_c[/b]<BR>AVI | Size: 400 MiB | Duration: 26mn 7s | 720x480
[b]0061_cuckold_sex_xxx_video_b[/b]<BR>AVI | Size: 450 MiB | Duration: 36mn 3s | 720x480
[b]0062_cuckold_sex_xxx_video_l[/b]<BR>AVI | Size: 302 MiB | Duration: 13mn 28s | 720x480
[b]0063_cuckold_sex_xxx_video_g[/b]<BR>AVI | Size: 343 MiB | Duration: 29mn 14s | 720x480
[b]0064_cuckold_sex_xxx_video_s[/b]<BR>AVI | Size: 177 MiB | Duration: 11mn 56s | 720x480
[b]0065_cuckold_sex_xxx_video_c[/b]<BR>AVI | Size: 255 MiB | Duration: 19mn 17s | 720x480
[b]0066_cuckold_sex_xxx_video_r[/b]<BR>AVI | Size: 73.1 MiB | Duration: 11mn 20s | 320x240
[b]0067_cuckold_sex_xxx_video_s[/b]<BR>AVI | Size: 233 MiB | Duration: 37mn 10s | 320x240
[b]0068_cuckold_sex_xxx_video_a[/b]<BR>AVI | Size: 49.0 MiB | Duration: 6mn 15s | 640x480
[b]0069_cuckold_sex_xxx_video_4[/b]<BR>AVI | Size: 156 MiB | Duration: 11mn 29s | 700x600
[b]0070_cuckold_sex_xxx_video_6[/b]<BR>AVI | Size: 160 MiB | Duration: 1h 2mn | 480x400
[b]0071_cuckold_sex_xxx_video_9[/b]<BR>AVI | Size: 233 MiB | Duration: 56mn 53s | 480x400
[b]0072_cuckold_sex_xxx_video_n[/b]<BR>AVI | Size: 73.1 MiB | Duration: 11mn 25s | 512x384
[b]0073_cuckold_sex_xxx_video_e[/b]<BR>AVI | Size: 118 MiB | Duration: 20mn 6s | 720x480
[b]0074_cuckold_sex_xxx_video_2[/b]<BR>AVI | Size: 216 MiB | Duration: 22mn 21s | 720x480
[b]0075_cuckold_sex_xxx_video_0[/b]<BR>AVI | Size: 189 MiB | Duration: 40mn 50s | 320x240
[b]0076_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 113 MiB | Duration: 14mn 11s | 640x480
[b]0077_cuckold_sex_xxx_video_2[/b]<BR>AVI | Size: 219 MiB | Duration: 28mn 28s | 512x384
[b]0078_cuckold_sex_xxx_video_5[/b]<BR>AVI | Size: 103 MiB | Duration: 9mn 35s | 640x480
[b]0079_cuckold_sex_xxx_video_6[/b]<BR>AVI | Size: 317 MiB | Duration: 30mn 6s | 640x480
[b]0080_cuckold_sex_xxx_video_2[/b]<BR>AVI | Size: 87.2 MiB | Duration: 11mn 10s | 640x368
[b]0081_cuckold_sex_xxx_video_0[/b]<BR>AVI | Size: 215 MiB | Duration: 19mn 40s | 640x480
[b]0082_cuckold_sex_xxx_video_6[/b]<BR>AVI | Size: 268 MiB | Duration: 27mn 54s | 720x480
[b]0083_cuckold_sex_xxx_video_0[/b]<BR>AVI | Size: 141 MiB | Duration: 29mn 15s | 512x384
[b]0084_cuckold_sex_xxx_video_6[/b]<BR>AVI | Size: 55.7 MiB | Duration: 20mn 54s | 320x240
[b]0085_cuckold_sex_xxx_video_4[/b]<BR>AVI | Size: 556 MiB | Duration: 41mn 27s | 640x480
[b]0086_cuckold_sex_xxx_video_6[/b]<BR>AVI | Size: 111 MiB | Duration: 16mn 22s | 512x416
[b]0087_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 168 MiB | Duration: 14mn 20s | 720x480
[b]0088_cuckold_sex_xxx_video_8[/b]<BR>AVI | Size: 79.2 MiB | Duration: 9mn 0s | 640x480
[b]0089_cuckold_sex_xxx_video_2[/b]<BR>Flash Video | Size: 51.6 MiB | Duration: 12mn 32s | 528x400
[b]0090_cuckold_sex_xxx_video_9[/b]<BR>AVI | Size: 336 MiB | Duration: 36mn 58s | 640x416
[b]0091_cuckold_sex_xxx_video_1[/b]<BR>AVI | Size: 237 MiB | Duration: 27mn 1s | 528x400
[b]0092_cuckold_sex_xxx_video_r[/b]<BR>MPEG-4 | Size: 113 MiB | Duration: 7mn 20s | 1280x720
[b]0093_cuckold_sex_xxx_video_z[/b]<BR>MPEG-4 | Size: 35.4 MiB | Duration: 4mn 5s | 1280x720
[b]0094_cuckold_sex_xxx_video_o[/b]<BR>Windows Media | Size: 990 MiB | Duration: 27mn 31s | 1280x720
[b]0095_cuckold_sex_xxx_video_e[/b]<BR>MPEG-4 | Size: 375 MiB | Duration: 8mn 18s | 1920x1080
[b]0096_cuckold_sex_xxx_video_0[/b]<BR>MPEG-4 | Size: 98.6 MiB | Duration: 18mn 46s | 540x360
[b]0097_cuckold_sex_xxx_video_1[/b]<BR>MPEG-4 | Size: 208 MiB | Duration: 13mn 35s | 640x480
[b]0098_cuckold_sex_xxx_video_3[/b]<BR>MPEG-4 | Size: 211 MiB | Duration: 13mn 46s | 640x480
[b]0099_cuckold_sex_xxx_video_1[/b]<BR>MPEG-4 | Size: 234 MiB | Duration: 15mn 16s | 640x480
[b]0100_cuckold_sex_xxx_video_2[/b]<BR>MPEG-4 | Size: 99.9 MiB | Duration: 17mn 24s | 600x450
[b]0101_cuckold_sex_xxx_video_1[/b]<BR>MPEG-4 | Size: 97.9 MiB | Duration: 17mn 3s | 600x450
[b]0102_cuckold_sex_xxx_video_1[/b]<BR>Windows Media | Size: 82.2 MiB | Duration: 17mn 19s | 480x352
[b]0103_cuckold_sex_xxx_video_2[/b]<BR>Windows Media | Size: 72.8 MiB | Duration: 17mn 23s | 480x352
[b]0104_cuckold_sex_xxx_video_3[/b]<BR>Windows Media | Size: 80.4 MiB | Duration: 18mn 56s | 480x352
[b]0105_cuckold_sex_xxx_video_4[/b]<BR>Windows Media | Size: 75.1 MiB | Duration: 15mn 45s | 480x352
[b]0106_cuckold_sex_xxx_video_1[/b]<BR>Windows Media | Size: 141 MiB | Duration: 19mn 27s | 480x352
[b]0107_cuckold_sex_xxx_video_2[/b]<BR>Windows Media | Size: 80.5 MiB | Duration: 15mn 43s | 480x352
[b]0108_cuckold_sex_xxx_video_3[/b]<BR>Windows Media | Size: 105 MiB | Duration: 14mn 53s | 480x352
[b]0109_cuckold_sex_xxx_video_4[/b]<BR>Windows Media | Size: 72.7 MiB | Duration: 15mn 0s | 480x352
[b]0110_cuckold_sex_xxx_video_5[/b]<BR>Windows Media | Size: 68.8 MiB | Duration: 12mn 58s | 480x352
[b]0111_cuckold_sex_xxx_video_2[/b]<BR>MPEG-4 | Size: 325 MiB | Duration: 21mn 15s | 640x480
[b]0112_cuckold_sex_xxx_video_3[/b]<BR>MPEG-4 | Size: 208 MiB | Duration: 13mn 36s | 640x480
[b]0113_cuckold_sex_xxx_video_4[/b]<BR>MPEG-4 | Size: 269 MiB | Duration: 17mn 35s | 640x480
[b]0114_cuckold_sex_xxx_video_1[/b]<BR>MPEG-4 | Size: 394 MiB | Duration: 25mn 46s | 640x480
[b]0115_cuckold_sex_xxx_video_2[/b]<BR>MPEG-4 | Size: 93.2 MiB | Duration: 16mn 14s | 600x450
[b]0116_cuckold_sex_xxx_video_3[/b]<BR>MPEG-4 | Size: 243 MiB | Duration: 15mn 55s | 640x480
[b]0117_cuckold_sex_xxx_video_4[/b]<BR>MPEG-4 | Size: 76.6 MiB | Duration: 13mn 20s | 600x450
[b]0118_cuckold_sex_xxx_video_5[/b]<BR>MPEG-4 | Size: 218 MiB | Duration: 14mn 28s | 640x480
[b]0119_cuckold_sex_xxx_video_2[/b]<BR>Windows Media | Size: 124 MiB | Duration: 15mn 28s | 480x352
[b]0120_cuckold_sex_xxx_video_4[/b]<BR>MPEG-4 | Size: 344 MiB | Duration: 22mn 32s | 640x480
[b]0121_cuckold_sex_xxx_video_2[/b]<BR>MPEG-4 | Size: 286 MiB | Duration: 18mn 41s | 640x480
[b]0122_cuckold_sex_xxx_video_3[/b]<BR>MPEG-4 | Size: 79.4 MiB | Duration: 13mn 50s | 600x450
[b]0123_cuckold_sex_xxx_video_1[/b]<BR>MPEG-4 | Size: 279 MiB | Duration: 18mn 32s | 640x480
[b]0124_cuckold_sex_xxx_video_3[/b]<BR>MPEG-4 | Size: 72.7 MiB | Duration: 12mn 40s | 600x450
